conquérir,conquer
consacrer,consecrate
consacrer,dedicate
consacrer,devote
conscientiser,sensitize
conseiller,advise
conseiller,counsel
consentir,acquiesce
conserver,conserve
considérer,consider
consigner,consign
consister,consist
consoler,comfort
consolider,consolidate
consommer,consume
constater,ascertain
constituer,constitute
construire,build
consulter,consult
consumer,consummate
contacter,contact
contaminer,pollute
contempler,contemplate
contenir,contain
contenter,cheer
contenter,gladden
conter,count
conter,explain
contester,argue
continuer,continue
continuer,go on
continuer,keep
continuer,keep on
contourner,surround
contracter,contract
contraindre,force
contrarier,antagonize
contraster,contrast
contredire,contradict
contribuer,contribute
contrôler,control
contrôler,monitor
convaincre,convince
convenir,agree
convenir,suit
converger,converge
convertir,convert
convier,invite
convoquer,set up
convoquer,summon
coopérer,cooperate
coordonner,coordinate
copier,copy
corder,twist
correspondre,correspond
corriger,correct
costumer,disguise
coter,quote
coucher,lie down
coudre,sew
couler,flow
couper,cut
coupler,match
courber,bend
courir,race
courir,run
couronner,top
courser,chase
courser,pursue
couver,hatch
couvrir,cover
coïncider,coincide
coûter,cost
craindre,fear
creuser,burrow
cribler,sift
crier,cry
crier,shout
criminaliser,criminalize
cristalliser,crystallise
critiquer,criticise
crocher,hook
croire,believe
croiser,cross
croiser,intersect
croître,grow
crypter,encrypt
créer,create
cueillir,harvest
cuire,bake
cuisiner,cook
cultiver,cultivate
cultiver,farm
cultiver,grow
céder,yield
célébrer,celebrate
daller,tile
damer,top
danser,dance
dater,date
demander,ask
demander,ask for
demander,call for
demander,request
demeurer,remain
descendre,bring down
descendre,descend
descendre,drop
descendre,get down
descendre,go down
descendre,lower
desservir,clear
dessiner,design
dessiner,draw
destiner,destine
destituer,discharge
devancer,advance
devenir,become
deviner,guess
deviner,hit
devoir,owe
diagnostiquer,diagnose
dialoguer,dialogue
dicter,dictate
diffuser,diffuse
différencier,differentiate
différer,differ
diminuer,diminish
dire au revoir,sack
dire,say
dire,tell
diriger,address
diriger,aim
diriger,conduct
diriger,direct
diriger,focus
diriger,lead
diriger,manage
discriminer,discriminate
discréditer,discredit
discuter,chat
disparaître,disappear
dispenser,dispense
disperser,disperse
disposer,have
disputer,argue
disputer,contest
dissimuler,dissemble
dissiper,dissipate
dissocier,dissociate
dissoudre,dissolve
dissuader,deter
distancer,distance
distiller,distill
distinguer,distinguish
distraire,distract
distribuer,distribute
distribuer,supply
diversifier,diversify
diviser,divide
divorcer,divorce
divulguer,spread
documenter,document
domestiquer,tame
domicilier,reside
dominer,dominate
dompter,tame
donner la priorité à,prioritise
donner,donate
donner,give
dorer,gild
dormir,sleep
doter,endow
doubler,double
douer,endow
douter,doubt
douter,hesitate
draguer,dredge
dramatiser,dramatize
dresser,raise
droguer,drug
duper,deceive
durcir,toughen
durer,last
dynamiter,blast
déballer,unpack
débarquer,disembark
débarrasser,remove
débattre,debate
débiter,sell
débloquer,unblock
débourser,disburse
débuter,debut
décaler,delay
déceler,discover
déceler,find out
déceler,unveil
décerner un prix,reward
décevoir,disappoint
décharger,discharge
décharger,download
décharger,unload
déchaîner,unchain
déchiffrer,decipher
déchirer,gash
décider,decide
déclarer,declare
déclarer,state
déclasser,discontinue
déclencher,actuate
décliner,decline
décoller,take off
décolorer,discolor
décompresser,unpack
déconcerter,baffle
décontenancer,baffle
décorer,decorate
découper,crop
découvrir,discover
découvrir,find out
découvrir,unveil
décrire,depict
décrire,describe
décréter,decree
décéder,die
dédaigner,despise
déduire,deduce
défaillir,faint
défaire,undo
défausser,rid
défavoriser,disfavor
défendre,advocate
défendre,defend
défier,challenge
défier,dare
défier,defy
défigurer,deface
défiler,parade
définir,define
dégager,free
dégrader,degrade
déguiser,disguise
déguster,taste
déjeuner,eat
délibérer,deliberate
délier,unchain
délivrer,rid
déloger,dislodge
déléguer,delegate
démanteler,dismantle
démarquer,demarcate
démentir,deny
démissionner,resign
démonter,disassemble
démontrer,demonstrate
démontrer,show
démoraliser,demoralise
dénaturer,denature
dénier,deny
dénigrer,denigrate
dénommer,denominate
dénommer,designate
dénoncer,denounce
dénoncer,report
dénoter,denote
déparer,disfigure
départir,divest
dépasser,project
dépendre,depend
